starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 17 16:19:38 2022	1668701978	0	94	94	94
Thu Nov 17 16:19:38 2022	1668701978	0	94	94	94
Thu Nov 17 16:19:37 2022	1668701977	0	94	94	94
Thu Nov 17 16:19:37 2022	1668701977	0	94	94	94
Thu Nov 17 16:19:37 2022	1668701977	0	94	94	94
Thu Nov 17 16:19:38 2022	1668701978	0	94	94	94
Thu Nov 17 16:19:38 2022	1668701978	0	94	94	94
Thu Nov 17 16:19:38 2022	1668701978	0	94	95	94
Thu Nov 17 16:19:38 2022	1668701978	0	95	95	94
Thu Nov 17 16:19:37 2022	1668701977	0	95	95	95
Thu Nov 17 16:19:38 2022	1668701978	0	95	95	94
Thu Nov 17 16:19:38 2022	1668701978	0	95	95	95
Thu Nov 17 16:19:38 2022	1668701978	0	95	95	95
Thu Nov 17 16:19:38 2022	1668701978	0	95	95	95
Thu Nov 17 16:19:38 2022	1668701978	0	95	95	95
Thu Nov 17 16:19:38 2022	1668701978	0	95	95	95
Thu Nov 17 16:19:38 2022	1668701978	0	95	95	95
Thu Nov 17 16:19:38 2022	1668701978	0	95	95	93
Thu Nov 17 16:19:38 2022	1668701978	0	95	95	95
Thu Nov 17 16:19:38 2022	1668701978	0	95	95	95
Thu Nov 17 16:19:38 2022	1668701978	0	95	96	95
Thu Nov 17 16:19:38 2022	1668701978	1	95	96	95
Thu Nov 17 16:19:37 2022	1668701977	0	96	96	96
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
Thu Nov 17 16:19:37 2022	1668701977	0	96	96	96
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
Thu Nov 17 16:19:36 2022	1668701976	3	93	96	93
Thu Nov 17 16:19:37 2022	1668701977	0	96	96	96
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
Thu Nov 17 16:19:37 2022	1668701977	0	96	96	96
Thu Nov 17 16:19:36 2022	1668701976	3	93	96	93
Thu Nov 17 16:19:37 2022	1668701977	0	96	96	96
Thu Nov 17 16:19:36 2022	1668701976	3	93	96	93
Thu Nov 17 16:19:38 2022	1668701978	2	95	96	95
Thu Nov 17 16:19:36 2022	1668701976	3	93	96	93
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
